go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0005911	cell-cell junction	cellular_component	11	920	522	34266	0.78	8.309e-01	9.341e-01		LOC120028229,LOC120031574,LOC120033099,LOC120033263,LOC120033737,LOC120034378,LOC120036151,LOC120043471,LOC120052362,cdh17,tjp1a
GO:0045216	cell-cell junction organization	biological_process	4	920	215	34266	0.69	8.319e-01	9.341e-01		LOC120043471,LOC120052362,cdh17,tjp1a
GO:0005126	cytokine receptor binding	molecular_function	5	920	261	34266	0.71	8.324e-01	9.341e-01		LOC120033129,LOC120036154,LOC120039573,LOC120044602,LOC120044603
GO:0043087	regulation of GTPase activity	biological_process	7	920	351	34266	0.74	8.342e-01	9.341e-01		LOC120028901,LOC120034506,LOC120036844,LOC120041011,LOC120041415,arhgap44a,plxnb2a.3
GO:0042995	cell projection	cellular_component	34	920	1467	34266	0.86	8.343e-01	9.341e-01		LOC120017751,LOC120017841,LOC120024345,LOC120024763,LOC120028326,LOC120028812,LOC120030794,LOC120030986,LOC120031026,LOC120031126,LOC120031527,LOC120032148,LOC120032586,LOC120032733,LOC120033099,LOC120033625,LOC120034033,LOC120041392,LOC120041637,LOC120042401,LOC120043638,LOC120044712,LOC120047746,LOC120048723,LOC120049361
GO:0120025	plasma membrane bounded cell projection	cellular_component	33	920	1427	34266	0.86	8.345e-01	9.341e-01		LOC120017751,LOC120017841,LOC120024345,LOC120024763,LOC120028326,LOC120028812,LOC120030794,LOC120030986,LOC120031026,LOC120031126,LOC120031527,LOC120032148,LOC120032586,LOC120032733,LOC120033099,LOC120033625,LOC120034033,LOC120041392,LOC120041637,LOC120042401,LOC120043638,LOC120047746,LOC120048723,LOC120049361,LOC120052410
GO:0044282	small molecule catabolic process	biological_process	4	920	217	34266	0.69	8.372e-01	9.363e-01		LOC120028813,LOC120031308,LOC120033335,LOC120041644
GO:0101005	deubiquitinase activity	molecular_function	3	920	170	34266	0.66	8.380e-01	9.363e-01		LOC120031117,LOC120032422,LOC120037120
GO:0016311	dephosphorylation	biological_process	8	920	398	34266	0.75	8.405e-01	9.381e-01		LOC120028326,LOC120029007,LOC120031120,LOC120031456,LOC120031461,LOC120034927,LOC120039738,LOC120048714
GO:0140097	catalytic activity, acting on DNA	molecular_function	5	920	265	34266	0.7	8.419e-01	9.381e-01		LOC120032639,LOC120038749,LOC120048713,atad5a,rad54b
GO:0071805	potassium ion transmembrane transport	biological_process	5	920	265	34266	0.7	8.419e-01	9.381e-01		LOC120029350,LOC120029915,LOC120035028,LOC120039924,LOC120056459
GO:0005543	phospholipid binding	molecular_function	7	920	358	34266	0.73	8.484e-01	9.431e-01	Y	LOC120020464,LOC120028853,LOC120031527,LOC120038029,LOC120042700,LOC120048691,snap91a
GO:0000278	mitotic cell cycle	biological_process	9	920	446	34266	0.75	8.486e-01	9.431e-01		LOC120031076,LOC120031999,LOC120034119,LOC120036153,LOC120036343,LOC120036510,LOC120039569,LOC120043099,ndel1b
GO:0051345	positive regulation of hydrolase activity	biological_process	5	920	268	34266	0.69	8.488e-01	9.431e-01		LOC120028901,LOC120034506,LOC120036844,LOC120041011,arhgap44a
GO:0090407	organophosphate biosynthetic process	biological_process	11	920	533	34266	0.77	8.496e-01	9.431e-01		LOC120020464,LOC120031336,LOC120033928,LOC120034531,LOC120034662,LOC120034978,LOC120039945,LOC120041464,LOC120046375,LOC120051245,LOC120053338
GO:0061695	transferase complex, transferring phosphorus-containing groups	cellular_component	8	920	404	34266	0.74	8.517e-01	9.440e-01		LOC120022234,LOC120031161,LOC120034192,LOC120039604,LOC120041464,LOC120042594,LOC120048860,LOC120049121
GO:0055082	intracellular chemical homeostasis	biological_process	6	920	315	34266	0.71	8.520e-01	9.440e-01		LOC120032125,LOC120034039,LOC120036150,LOC120051648,slc24a5,slc39a13
