go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0016310	phosphorylation	biological_process	8	91	1202	34268	2.51	1.465e-02	8.367e-02		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,triob
GO:1901699	cellular response to nitrogen compound	biological_process	3	91	194	34268	5.82	1.508e-02	8.367e-02		LOC120028089,LOC120060868,cracr2b
GO:0032279	asymmetric synapse	cellular_component	3	91	198	34268	5.71	1.591e-02	8.367e-02		LOC120020307,LOC120057339,LOC120066718
GO:0014069	postsynaptic density	cellular_component	3	91	198	34268	5.71	1.591e-02	8.367e-02		LOC120020307,LOC120057339,LOC120066718
GO:0098984	neuron to neuron synapse	cellular_component	3	91	198	34268	5.71	1.591e-02	8.367e-02		LOC120020307,LOC120057339,LOC120066718
GO:0005509	calcium ion binding	molecular_function	8	91	1254	34268	2.4	1.843e-02	9.108e-02		LOC120020307,LOC120025009,LOC120030672,LOC120045058,LOC120049548,LOC120060868,cracr2b,pros1
GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	4	91	380	34268	3.96	1.870e-02	9.108e-02		LOC120065085,iqsec3a,sh2d3a,triob
GO:0009100	glycoprotein metabolic process	biological_process	3	91	213	34268	5.3	1.928e-02	9.108e-02		LOC120048047,LOC120049548,LOC120055734
GO:0050790	regulation of catalytic activity	biological_process	6	91	797	34268	2.83	1.956e-02	9.108e-02		LOC120032530,LOC120040412,LOC120053194,LOC120065085,asap1a,ptprc
GO:0050839	cell adhesion molecule binding	molecular_function	4	91	392	34268	3.84	2.069e-02	9.367e-02		LOC120019576,LOC120020307,LOC120056781,LOC120066463
GO:0032879	regulation of localization	biological_process	5	91	595	34268	3.16	2.131e-02	9.386e-02		LOC120019576,LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0099572	postsynaptic specialization	cellular_component	3	91	231	34268	4.89	2.380e-02	1.021e-01		LOC120020307,LOC120057339,LOC120066718
GO:0070161	anchoring junction	cellular_component	5	91	619	34268	3.04	2.474e-02	1.034e-01		LOC120019576,LOC120020307,LOC120054371,LOC120056781,mpp6b
GO:1901698	response to nitrogen compound	biological_process	3	91	241	34268	4.69	2.654e-02	1.058e-01		LOC120028089,LOC120060868,cracr2b
GO:0006796	phosphate-containing compound metabolic process	biological_process	9	91	1604	34268	2.11	2.662e-02	1.058e-01		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,ptprc,triob
GO:0051336	regulation of hydrolase activity	biological_process	4	91	444	34268	3.39	3.078e-02	1.193e-01		LOC120032530,LOC120040412,LOC120065085,asap1a
GO:0043547	positive regulation of GTPase activity	biological_process	3	91	260	34268	4.35	3.219e-02	1.193e-01		LOC120032530,LOC120065085,asap1a
GO:0016773	phosphotransferase activity, alcohol group as acceptor	molecular_function	8	91	1396	34268	2.16	3.221e-02	1.193e-01		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,triob
GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function	9	91	1673	34268	2.03	3.359e-02	1.213e-01		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120054763,LOC120065642,map4k3a,nek7,triob
GO:0051345	positive regulation of hydrolase activity	biological_process	3	91	268	34268	4.22	3.474e-02	1.213e-01		LOC120032530,LOC120065085,asap1a
GO:0006325	chromatin organization	biological_process	3	91	270	34268	4.18	3.539e-02	1.213e-01		LOC120019149,LOC120050135,pphln1
GO:0099503	secretory vesicle	cellular_component	3	91	271	34268	4.17	3.572e-02	1.213e-01		LOC120020198,LOC120042986,cracr2b
GO:0065009	regulation of molecular function	biological_process	6	91	926	34268	2.44	3.691e-02	1.228e-01		LOC120032530,LOC120040412,LOC120053194,LOC120065085,asap1a,ptprc
GO:0043085	positive regulation of catalytic activity	biological_process	4	91	478	34268	3.15	3.872e-02	1.262e-01		LOC120032530,LOC120053194,LOC120065085,asap1a
GO:0004674	protein serine/threonine kinase activity	molecular_function	5	91	709	34268	2.66	4.072e-02	1.293e-01		LOC120020909,LOC120043213,LOC120045630,LOC120065642,map4k3a
GO:0098794	postsynapse	cellular_component	4	91	488	34268	3.09	4.125e-02	1.293e-01		LOC120020307,LOC120057339,LOC120066718,cracr2b
GO:0016301	kinase activity	molecular_function	8	91	1488	34268	2.02	4.422e-02	1.301e-01		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,triob
GO:0097447	dendritic tree	cellular_component	3	91	296	34268	3.82	4.447e-02	1.301e-01		LOC120062883,LOC120066718,cracr2b
GO:0030425	dendrite	cellular_component	3	91	296	34268	3.82	4.447e-02	1.301e-01		LOC120062883,LOC120066718,cracr2b
GO:0008104	intracellular protein localization	biological_process	7	91	1226	34268	2.15	4.469e-02	1.301e-01		LOC120032363,LOC120046589,LOC120056503,LOC120060868,ap2b1,cracr2b,pphln1
GO:0044093	positive regulation of molecular function	biological_process	4	91	511	34268	2.95	4.744e-02	1.351e-01		LOC120032530,LOC120053194,LOC120065085,asap1a
GO:0007264	small GTPase-mediated signal transduction	biological_process	3	91	308	34268	3.67	4.901e-02	1.351e-01		LOC120042766,LOC120065085,sh2d3a
